symbol;datetime;open;high;low;close;volume;symbol_id
ETHUSDT;19/08/21 3:45;2980.91;2989.8;2966.31;2966.97;26128.26;334
ETHUSDT;19/08/21 4:00;2966.98;2985;2958.8;2977.23;41792.69;334
ETHUSDT;19/08/21 4:15;2977.24;2993.55;2966.84;2991.79;29171.775;334
ETHUSDT;19/08/21 4:30;2991.78;2993.26;2978.02;2987.78;25002.18;334
ETHUSDT;19/08/21 4:45;2987.57;2991.79;2981.1;2984.34;18920.418;334
ETHUSDT;19/08/21 5:00;2984.33;2988.17;2972.1;2976.08;19902.164;334
ETHUSDT;19/08/21 5:15;2976.08;3008;2973.7;3003.54;31274.504;334
ETHUSDT;19/08/21 5:30;3003.54;3018.88;3002.55;3010.36;36482.504;334
ETHUSDT;19/08/21 5:45;3010.55;3014.99;3005.5;3007.73;14989.308;334
ETHUSDT;19/08/21 6:00;3007.6;3011.73;2989.15;2992.79;29153.648;334
ETHUSDT;19/08/21 6:15;2992.78;3002.4;2988.51;2995.25;16152.795;334
ETHUSDT;19/08/21 6:30;2995.25;3007.82;2989.64;2995.07;19278.607;334
ETHUSDT;19/08/21 6:45;2995.08;3006;2987.18;2998.3;21628.621;334
ETHUSDT;19/08/21 7:00;2998.3;3012.16;2994.26;3008.71;16195.348;334
ETHUSDT;19/08/21 7:15;3008.77;3009.7;2991.2;2992.15;16799.83;334
ETHUSDT;19/08/21 7:30;2991.97;2995;2977.9;2986.7;28827.242;334
ETHUSDT;19/08/21 7:45;2986.7;2997.54;2973.3;2996.83;35594.895;334
ETHUSDT;19/08/21 8:00;2996.83;3023.99;2987.5;2990.87;76492.984;334
ETHUSDT;19/08/21 8:15;2990.88;3010.27;2980;3003.97;41616.152;334
ETHUSDT;19/08/21 8:30;3003.97;3013.3;2999.22;3002.3;20313.75;334
ETHUSDT;19/08/21 8:45;3002.3;3011.39;2994.21;3004.63;16578.89;334
ETHUSDT;19/08/21 9:00;3004.63;3016.94;3002;3012.58;34287.145;334
ETHUSDT;19/08/21 9:15;3012.57;3014.6;2999.17;3007.71;19893.613;334
ETHUSDT;19/08/21 9:30;3007.72;3014.8;3005.18;3014.16;30719.334;334
ETHUSDT;19/08/21 9:45;3014.15;3014.18;3003.53;3003.75;13774.624;334
ETHUSDT;19/08/21 10:00;3003.75;3014;2997.41;2997.5;15154.955;334
ETHUSDT;19/08/21 10:15;2997.51;3004.98;2991;3004.55;20415.82;334
ETHUSDT;19/08/21 10:30;3004.55;3007.97;2987;2988.43;18588.992;334
ETHUSDT;19/08/21 10:45;2988.43;2989.8;2982.01;2982.74;20724.785;334
ETHUSDT;19/08/21 11:00;2982.74;2992.11;2975.8;2985.86;25556.885;334
ETHUSDT;19/08/21 11:15;2985.86;2997.5;2983.17;2991.04;15900.373;334
ETHUSDT;19/08/21 11:30;2991.05;3002;2988;2988.3;13287.055;334
ETHUSDT;19/08/21 11:45;2988.3;2992;2973;2973.65;25475.057;334
ETHUSDT;19/08/21 12:00;2973.51;2981.63;2962.63;2978.5;38179.24;334
ETHUSDT;19/08/21 12:15;2978.15;2992;2973.79;2986.41;31203.195;334
ETHUSDT;19/08/21 12:30;2986.4;2994;2979;2990.25;18909.584;334
ETHUSDT;19/08/21 12:45;2990.25;3005.13;2987.13;2998.35;23305.496;334
ETHUSDT;19/08/21 13:00;2998.35;3007.63;2995.02;3003.99;22992.809;334
ETHUSDT;19/08/21 13:15;3004;3009.9;2983.38;2983.41;24460.707;334
ETHUSDT;19/08/21 13:30;2983.6;3005;2983;3004.4;34806.418;334
ETHUSDT;19/08/21 13:45;3004.4;3022.65;3000.7;3021.82;53316.105;334
ETHUSDT;19/08/21 14:00;3021.83;3051;3021.83;3044.49;80236.06;334
ETHUSDT;19/08/21 14:15;3044.43;3057.2;3036.9;3037.22;49220.938;334
ETHUSDT;19/08/21 14:30;3037.37;3048;3030;3036.36;35722.14;334
ETHUSDT;19/08/21 14:45;3036.36;3045;3032.01;3042.73;23308.629;334
ETHUSDT;19/08/21 15:00;3042.72;3058.34;3042.22;3048.5;40940.473;334
ETHUSDT;19/08/21 15:15;3048.51;3052.82;3043.53;3048.3;15395.491;334
ETHUSDT;19/08/21 15:30;3048.3;3079.73;3048.3;3060.37;46036.43;334
ETHUSDT;19/08/21 15:45;3060.37;3069.85;3060.37;3068.01;19034.645;334
ETHUSDT;19/08/21 16:00;3068.01;3078.88;3053.82;3056.16;42757.24;334
ETHUSDT;19/08/21 16:15;3056.15;3067.03;3056.15;3065.77;14451.577;334
ETHUSDT;19/08/21 16:30;3065.77;3071.69;3057.22;3061;13962.442;334
ETHUSDT;19/08/21 16:45;3061.01;3068.06;3046.24;3173;22521.676;334
ETHUSDT;19/08/21 17:00;3047.49;3059.78;3022.13;3036.15;42878.973;334
ETHUSDT;19/08/21 17:15;3036.11;3049.34;3035.13;3044.19;19349.32;334
ETHUSDT;19/08/21 17:30;3044.19;3054.09;3041.4;3045.64;12857.831;334
ETHUSDT;19/08/21 17:45;3045.64;3055.8;3045.19;3050.7;9309.64;334
ETHUSDT;19/08/21 18:00;3050.75;3058.95;3048.37;3053.6;12311.626;334
ETHUSDT;19/08/21 18:15;3053.59;3099;3053.25;3082.28;62842.453;334
ETHUSDT;19/08/21 18:30;3082.28;3124.18;3082.28;3122.39;104751.516;334
ETHUSDT;19/08/21 18:45;3122.61;3140.95;3113.04;3133.98;62584.223;334
ETHUSDT;19/08/21 19:00;3133.92;3168;3133.92;3148.31;81196.94;334
ETHUSDT;19/08/21 19:15;3148.55;3155.88;3140.3;3147.74;39184.266;334
ETHUSDT;19/08/21 19:30;3147.74;3153.3;3140.54;3147.36;18167.959;334
ETHUSDT;19/08/21 19:45;3147.37;3149.73;3133.19;3149.59;25010.047;334
ETHUSDT;19/08/21 20:00;3149.61;3168.32;3145;3146.29;60853.258;334
ETHUSDT;19/08/21 20:15;3146;3158.5;3145;3173;13435.319;334
ETHUSDT;19/08/21 20:30;3149.16;3165.18;3149.16;3164.6;13646.368;334
ETHUSDT;19/08/21 20:45;3164.69;3165;3150;3160.52;13730.625;334
ETHUSDT;19/08/21 21:00;3160.61;3163.94;3147.5;3150.31;17079.707;334
ETHUSDT;19/08/21 21:15;3150.01;3161.7;3150.01;3157.12;12383.723;334
ETHUSDT;19/08/21 21:30;3157.1;3160.11;3151.01;3153.03;8396.143;334
ETHUSDT;19/08/21 21:45;3153.03;3175.89;3153.03;3165.61;22749.133;334
ETHUSDT;19/08/21 22:00;3165.6;3180;3160;3164.74;32988.777;334
ETHUSDT;19/08/21 22:15;3164.74;3173.93;3150.04;3171.24;21562.646;334
ETHUSDT;19/08/21 22:30;3171.24;3172.49;3152;3152.2;13102.708;334
ETHUSDT;19/08/21 22:45;3152.21;3174.66;3151.77;3174.09;17131.295;334
ETHUSDT;19/08/21 23:00;3173.86;3194;3163.04;3164.98;47166.97;334
ETHUSDT;19/08/21 23:15;3164.97;3173.31;3158;3169.9;16987.15;334
ETHUSDT;19/08/21 23:30;3169.91;3182;3168.65;3177.8;15848.126;334
ETHUSDT;19/08/21 23:45;3177.81;3188.83;3168.64;3186.8;20375.32;334
ETHUSDT;20/08/21 0:00;3186.76;3220.57;3180;3214.18;93184.9;334
ETHUSDT;20/08/21 0:15;3214.18;3233;3207.71;3173;49824.88;334
ETHUSDT;20/08/21 0:30;3230.32;3249.48;3228.15;3237.32;54370.465;334
ETHUSDT;20/08/21 0:45;3237.39;3243.5;3226.93;3232.3;26675.418;334
ETHUSDT;20/08/21 1:00;3232.3;3237;3216;3221.86;28247.078;334
ETHUSDT;20/08/21 1:15;3221.86;3236.7;3221.85;3224.9;15084.256;334
ETHUSDT;20/08/21 1:30;3225.11;3237.67;3225.11;3235.51;18443.287;334
ETHUSDT;20/08/21 1:45;3235.55;3244.98;3230.57;3239.1;17009.537;334
